lb,rp,top_n,cagr,sharpe,max_dd,final_val
12,2,1,0.19241414986920558,0.7087934300790163,-0.29600640204780937,1552348.7700742022
12,2,2,0.17463032380714005,0.8110844162548309,-0.22633999678077776,1228269.9540999695
12,3,1,0.2026339430084263,0.8399919542536274,-0.23080929487179466,1773153.6652535528
12,3,2,0.18156015452802565,0.8639273019900303,-0.20993909946941935,1346181.0073507107
12,4,1,0.2116327169820016,0.8687452506628608,-0.23287357725898702,1991580.9142817394
12,4,2,0.18332575760154057,0.8711166727342046,-0.23172124802137234,1377872.253988816
12,5,1,0.18724893980962487,0.7001801779588857,-0.23368254234457883,1450806.7504967821
12,5,2,0.20026044288726652,0.960626537898326,-0.2127582951922758,1719398.0758597148
12,6,1,0.18535736378304835,0.7274851703776647,-0.25531767805835026,1415201.5307418497
12,6,2,0.20466254381119753,1.0302050109272056,-0.21253454796838012,1820340.346841044
12,8,1,0.20066915402783714,0.8150421932540055,-0.23746980449160074,1728544.6073548482
12,8,2,0.1689907953056735,0.8044177281880968,-0.21824471915962768,1139522.3373926254
12,12,1,0.1596999383451314,0.5717224939412876,-0.274421169101207,1006281.4440143117
12,12,2,0.19291969464763614,0.9612356381056408,-0.16669766787738863,1562636.6352224601
