Date,Ticker,Type,Entry,Exit,PnL_%,PnL_USD,Capital
2020-06-04,RELIANCE.NS,Equity 1x2 Spread,658.27001953125,714.5044764477512,0.34,34.95,130047.11
2020-06-05,TCS.NS,Equity 1x2 Spread,1698.231201171875,1794.5772571431025,3.21,332.36,130379.47
2020-06-11,BTC-USD,Crypto 1.5x,9771.4892578125,9282.914794921875,-7.86,-819.83,129559.65
2020-06-15,ETH-USD,Crypto 1.5x,237.4932098388672,225.61854934692383,-7.86,-814.67,128744.97
2020-06-19,RELIANCE.NS,Equity 1x2 Spread,710.1441650390625,804.0927203501327,-2.5,-260.09,128484.88
2020-06-22,TCS.NS,Equity 1x2 Spread,1752.0223388671875,1734.6580810546875,-0.12,-12.52,128472.36
2020-06-27,BTC-USD,Crypto 1.5x,9538.0244140625,9061.123193359375,-7.86,-809.55,127662.82
2020-06-27,ETH-USD,Crypto 1.5x,234.41616821289062,222.6953598022461,-7.86,-809.55,126853.27
2020-07-02,TCS.NS,Equity 1x2 Spread,1734.6580810546875,1851.8871415303802,2.12,218.09,127071.36
2020-07-07,TCS.NS,Equity 1x2 Spread,1845.17236328125,1969.6725611133259,2.13,216.8,127288.16
2020-07-10,RELIANCE.NS,Equity 1x2 Spread,794.524169921875,850.6037089763864,1.82,185.19,127473.35
2020-07-17,^NSEI,Equity 1x2 Spread,10551.7001953125,10901.7001953125,3.2,325.0,127798.35
2020-07-22,RELIANCE.NS,Equity 1x2 Spread,847.6473999023438,907.202312550526,1.85,189.08,127987.43
2020-07-25,ETH-USD,Crypto 1.5x,239.07553100585938,286.5481788635254,29.43,2996.38,130983.8
2020-07-26,BTC-USD,Crypto 1.5x,9375.474609375,9905.1669921875,8.11,824.91,131808.71
2020-08-07,^NSEI,Equity 1x2 Spread,11215.4501953125,11214.0498046875,-0.12,-12.29,131796.43
2020-08-31,TCS.NS,Equity 1x2 Spread,1922.181884765625,1935.1268310546875,0.55,58.35,131854.78
2020-08-31,ICICIBANK.NS,Equity 1x2 Spread,379.3309631347656,408.15312260324686,1.28,135.15,131989.94
2020-09-02,RELIANCE.NS,Equity 1x2 Spread,956.19580078125,960.5511474609375,0.34,35.37,132025.31
2020-09-03,BTC-USD,Crypto 1.5x,11774.595703125,11185.86591796875,-7.86,-828.74,131196.57
2020-09-10,RELIANCE.NS,Equity 1x2 Spread,960.5511474609375,1058.3801472724467,-1.3,-137.8,131058.77
2020-09-14,TCS.NS,Equity 1x2 Spread,1935.1268310546875,2148.1640668867335,-2.13,-224.8,130833.97
2020-09-30,^NSEI,Equity 1x2 Spread,11521.7998046875,11247.5498046875,-0.12,-12.56,130821.41
2020-10-13,RELIANCE.NS,Equity 1x2 Spread,1000.2920532226562,1029.38134765625,2.79,291.82,131113.23
2020-10-27,^NSEI,Equity 1x2 Spread,11930.9501953125,11889.400390625,-0.12,-12.56,131100.67
2020-10-28,RELIANCE.NS,Equity 1x2 Spread,1029.38134765625,907.856689453125,-0.12,-12.59,131088.09
2020-10-30,BTC-USD,Crypto 1.5x,11296.361328125,13546.5224609375,29.52,3089.38,134177.46
2020-11-02,ETH-USD,Crypto 1.5x,381.1907653808594,383.15673828125,0.41,43.38,134220.85
2020-11-11,^NSEI,Equity 1x2 Spread,11908.5,12769.75,1.65,176.93,134397.78
2020-11-14,TCS.NS,Equity 1x2 Spread,2294.30029296875,2299.03515625,0.09,9.27,134407.05
2020-12-01,TCS.NS,Equity 1x2 Spread,2299.03515625,2347.635986328125,1.99,214.4,134621.45
2020-12-07,^NSEI,Equity 1x2 Spread,12859.0498046875,13355.75,3.74,402.43,135023.88
2020-12-16,TCS.NS,Equity 1x2 Spread,2347.635986328125,2422.8828125,3.09,332.27,135356.15
2020-12-17,BTC-USD,Crypto 1.5x,18803.65625,21338.62763671875,19.86,2145.46,137501.62
2020-12-22,^NSEI,Equity 1x2 Spread,13355.75,13466.2998046875,0.71,76.45,137578.07
2020-12-28,^NSEBANK,Equity 1x2 Spread,30604.494140625,30880.58984375,0.78,84.49,137662.55
2020-12-31,TCS.NS,Equity 1x2 Spread,2422.8828125,2464.68212890625,1.61,173.82,137836.37
2021-01-01,ICICIBANK.NS,Equity 1x2 Spread,493.6524963378906,519.3796874999999,3.67,403.53,138239.9
2021-01-12,^NSEBANK,Equity 1x2 Spread,30880.58984375,32397.573535180407,3.97,436.95,138676.85
2021-01-18,ICICIBANK.NS,Equity 1x2 Spread,510.19140625,515.6560668945312,0.95,105.18,138782.03
2021-01-20,^NSEI,Equity 1x2 Spread,14199.5,14644.7001953125,3.02,333.47,139115.5
2021-01-27,^NSEBANK,Equity 1x2 Spread,32338.625,30284.19921875,-0.12,-13.31,139102.19
