Entry Date,Exit Date,Entry Price,Exit Price,Profit,Return %,Stock
2023-03-12,2023-04-19,20.310531616210938,22.71283531188965,247292.0873235017,11.38100789015009,SOL-USD
2023-05-27,2023-06-05,20.425233840942383,20.07505989074707,-50996.42113904655,-2.1071675010937416,SOL-USD
2023-06-29,2023-08-15,17.970457077026367,23.89658546447754,768685.098609155,32.44568352904651,SOL-USD
2023-08-29,2023-08-31,21.780763626098633,19.735092163085938,-306069.2507972596,-9.754170825997493,SOL-USD
2023-09-18,2023-09-21,19.657245635986328,19.47907066345215,-36880.46701921197,-1.302386629572641,SOL-USD
2023-09-28,2023-11-16,19.957616806030273,57.871402740478516,5277090.333893122,188.81278348681073,SOL-USD
2023-12-02,2024-01-22,63.83285903930664,83.62281036376953,2460278.21687089,30.4792780192861,SOL-USD
2024-02-26,2024-03-19,109.91853332519531,170.0162811279297,5693388.855474317,54.056728147524694,SOL-USD
2024-03-20,2024-04-02,191.54962158203125,181.17225646972656,-940362.8291880265,-5.795537134174689,SOL-USD
2024-05-09,2024-06-07,152.84994506835938,162.50704956054688,900789.1251150705,5.89318257073302,SOL-USD
